Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Team_name,Seed,Col_10,multi_event_points,Col_12,Col_13,Col_14,Col_15,Col_16,Event_sex,Event_name,Seed_numeric,is_lower_better,Rank,score
1,3,Demaris,WATERS,JR,322.0,Florida,UF,13.21,,13.21,,Prelims,track,4,m,Men,110 M Hurdles,13.21,True,7.0,2.0
2,4,Jerome,CAMPBELL,JR,709.0,Northern Colorado,UNCO,13.23,,13.23,,Prelims,track,4,m,Men,110 M Hurdles,13.23,True,8.0,1.0
1,7,John,ADESOLA,SR,387.0,Houston,UH,13.26,,13.26,,Prelims,track,4,m,Men,110 M Hurdles,13.26,True,9.0,0.0
3,2,Matthew,SOPHIA,JR,564.0,LSU,LSU,13.31,,13.31,,Prelims,track,4,m,Men,110 M Hurdles,13.31,True,10.0,0.0
2,9,Jahiem,STERN,JR,565.0,LSU,LSU,13.35,,13.33,,Prelims,track,4,m,Men,110 M Hurdles,13.35,True,11.0,0.0
3,4,Braxton,BRANN,SO,738.0,Ohio State,OHST,13.36,,13.36,,Prelims,track,4,m,Men,110 M Hurdles,13.36,True,12.0,0.0
3,7,Darius,BROWN,SR,253.0,DePaul,DEP,13.37,,13.37,,Prelims,track,4,m,Men,110 M Hurdles,13.37,True,13.0,0.0
2,2,Johnny,BRACKINS,SR,1124.0,USC,USC,13.39,,13.37,,Prelims,track,4,m,Men,110 M Hurdles,13.39,True,14.0,0.0
2,7,Jayden,SMITH,SR,251.0,Davidson,DAVD,13.39,,13.39,,Prelims,track,4,m,Men,110 M Hurdles,13.39,True,14.0,0.0
1,6,Oscar,SMITH,SR,529.0,Louisiana Tech,LT,13.42,,13.42,,Prelims,track,4,m,Men,110 M Hurdles,13.42,True,16.0,0.0
3,6,Ethan,EXILHOMME,SR,720.0,Northeastern,NEU,13.45,,13.45,,Prelims,track,4,m,Men,110 M Hurdles,13.45,True,17.0,0.0
1,4,Isaiah,TAYLOR,SO,653.0,N. Carolina A&T,NCAT,13.46,,13.46,,Prelims,track,4,m,Men,110 M Hurdles,13.46,True,18.0,0.0
2,3,Bradley,FRANKLIN,FR,876.0,Samford,SAMF,13.46,,13.46,,Prelims,track,4,m,Men,110 M Hurdles,13.46,True,18.0,0.0
2,8,Josh,PARRISH,SO,1221.0,Wichita State,WICH,13.47,,13.47,,Prelims,track,4,m,Men,110 M Hurdles,13.47,True,20.0,0.0
1,2,Christian,MARTIN,SR,614.0,Minnesota,MINN,13.49,,13.49,,Prelims,track,4,m,Men,110 M Hurdles,13.49,True,21.0,0.0
1,9,Christopher,SERRAO,JR,867.0,Rutgers,RUTG,13.49,,13.49,,Prelims,track,4,m,Men,110 M Hurdles,13.49,True,21.0,0.0
3,9,Joshua,HORNSBY,SR,249.0,Cal St. Fullerton,CSUF,13.51,,13.51,,Prelims,track,4,m,Men,110 M Hurdles,13.51,True,23.0,0.0
3,8,Tyson,WILLIAMS,SR,300.0,Florida State,FSU,13.54,,13.53,,Prelims,track,4,m,Men,110 M Hurdles,13.54,True,24.0,0.0
